127.0.0.1 - - [30/Jan/2019:17:58:40 +0100] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:15 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:15 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:16 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:16 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:16 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:16 +0100] "GET /ProjekatWP/profileImages/neki%20novi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:17 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:17 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:17 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:18 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:18 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:18 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:19 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:19 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:19 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:19 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
